Category: All categories

Day,bitcoin: (United States)
2020-08-07,77
2020-08-08,67
2020-08-09,65
2020-08-10,78
2020-08-11,75
2020-08-12,64
2020-08-13,71
2020-08-14,74
2020-08-15,69
2020-08-16,65
2020-08-17,82
2020-08-18,80
2020-08-19,67
2020-08-20,59
2020-08-21,58
2020-08-22,58
2020-08-23,54
2020-08-24,56
2020-08-25,58
2020-08-26,55
2020-08-27,52
2020-08-28,53
2020-08-29,44
2020-08-30,47
2020-08-31,53
2020-09-01,60
2020-09-02,58
2020-09-03,61
2020-09-04,66
2020-09-05,65
2020-09-06,56
2020-09-07,53
2020-09-08,53
2020-09-09,54
2020-09-10,49
2020-09-11,42
2020-09-12,50
2020-09-13,45
2020-09-14,46
2020-09-15,51
2020-09-16,50
2020-09-17,48
2020-09-18,47
2020-09-19,43
2020-09-20,40
2020-09-21,48
2020-09-22,43
2020-09-23,41
2020-09-24,43
2020-09-25,42
2020-09-26,44
2020-09-27,36
2020-09-28,48
2020-09-29,42
2020-09-30,41
2020-10-01,42
2020-10-02,42
2020-10-03,42
2020-10-04,41
2020-10-05,42
2020-10-06,43
2020-10-07,42
2020-10-08,49
2020-10-09,53
2020-10-10,53
2020-10-11,49
2020-10-12,51
2020-10-13,49
2020-10-14,47
2020-10-15,48
2020-10-16,48
2020-10-17,42
2020-10-18,44
2020-10-19,52
2020-10-20,59
2020-10-21,95
2020-10-22,100
2020-10-23,77
2020-10-24,67
2020-10-25,68
2020-10-26,72
2020-10-27,85
2020-10-28,90
2020-10-29,71
2020-10-30,68
2020-10-31,67
2020-11-01,66
2020-11-02,70
